Quarter,Time,Down,ToGo,Location,Detail,CAR,SEA,EPB,EPA
2,11:29,1,10,SEA 23,DeAngelo Williams left end for 8 yards (tackle by Bobby Wagner and K.J. Wright),0,7,4.040,4.750
2,10:44,2,2,SEA 15,Jonathan Stewart up the middle for 1 yard (tackle by Tony McDaniel and Kam Chancellor),0,7,4.750,4.280
2,10:02,3,1,SEA 14,Mike Tolbert left guard for 3 yards (tackle by Tony McDaniel and Michael Bennett),0,7,4.280,4.840
2,9:21,1,10,SEA 11,Jonathan Stewart right end for 1 yard (tackle by Bobby Wagner),0,7,4.840,4.320
2,8:36,2,9,SEA 10,Jonathan Stewart right tackle for 3 yards (tackle by Richard Sherman),0,7,4.320,3.980
2,7:48,3,6,SEA 7,Cam Newton pass complete short left to Kelvin Benjamin for 7 yards touchdown,6,7,3.980,7.000
2,7:48,,,,Graham Gano kicks extra point good,7,7,0.000,0.000
2,7:48,,,CAR 35,Graham Gano kicks off 68 yards returned by Paul Richardson for 26 yards (tackle by Joe Webb),7,7,0.000,-0.480
2,7:35,1,10,SEA 23,Marshawn Lynch right guard for 8 yards (tackle by Luke Kuechly),7,7,0.480,1.010
2,6:58,2,2,SEA 31,Marshawn Lynch up the middle for 3 yards (tackle by Dwan Edwards),7,7,1.010,1.200
2,6:23,1,10,SEA 34,Marshawn Lynch right tackle for no gain (tackle by Thomas Davis),7,7,1.200,0.660
2,5:47,2,10,SEA 34,Russell Wilson pass complete short middle to Marshawn Lynch for 3 yards (tackle by Luke Kuechly and Mario Addison),7,7,0.660,0.370
2,5:06,3,7,SEA 37,Russell Wilson pass complete deep left to Jermaine Kearse for 63 yards touchdown,7,13,0.370,7.000
2,5:06,,,,Steven Hauschka kicks extra point good,7,14,0.000,0.000
2,5:06,,,SEA 35,Steven Hauschka kicks off 68 yards returned by Brenton Bersin for 24 yards (tackle by Kam Chancellor),7,14,0.000,-0.340
2,4:47,1,10,CAR 21,Cam Newton pass complete short right to DeAngelo Williams for no gain,7,14,0.340,-0.200
2,4:08,2,10,CAR 21,Cam Newton pass incomplete deep left intended for Greg Olsen,7,14,-0.200,-0.890
2,4:02,3,10,CAR 21,Cam Newton pass complete short left to Jerricho Cotchery for 13 yards (tackle by Jeremy Lane),7,14,-0.890,1.200
2,3:28,1,10,CAR 34,Cam Newton pass complete short left to Brenton Bersin for 11 yards (tackle by Kam Chancellor),7,14,1.200,1.930
2,2:52,1,10,CAR 45,Jonathan Stewart up the middle for 4 yards (tackle by Cliff Avril). Penalty on Tony McDaniel: Face Mask (15 Yards) 15 yards,7,14,1.930,3.180
2,2:28,1,10,SEA 36,Cam Newton left tackle for 1 yard (tackle by Michael Bennett),7,14,3.180,2.770
2,2:00,2,9,SEA 35,Cam Newton pass incomplete deep right intended for Kelvin Benjamin,7,14,2.770,2.080
2,1:53,3,9,SEA 35,Cam Newton left tackle for 8 yards (tackle by O'Brien Schofield). Cam Newton fumbles (forced by O'Brien Schofield) ball out of bounds at SEA-19,7,14,2.080,1.820
2,1:02,3,9,SEA 35,Timeout #1 by Carolina Panthers,7,14,0.000,0.000
