Quarter,Time,Down,ToGo,Location,Detail,SEA,DEN,EPB,EPA
2,12:08,,,,Steven Hauschka kicks extra point good,15,0,0.000,0.000
2,12:08,,,SEA 35,Steven Hauschka kicks off 66 yards returned by Trindon Holliday for 17 yards (tackle by Kam Chancellor),15,0,0.000,0.140
2,11:54,1,10,DEN 16,Peyton Manning pass complete short right to Demaryius Thomas for 6 yards (tackle by K.J. Wright),15,0,-0.140,0.280
2,11:27,2,4,DEN 22,Peyton Manning pass complete short left to Demaryius Thomas for 3 yards (tackle by Byron Maxwell and Bobby Wagner),15,0,0.280,-0.200
2,10:42,3,1,DEN 25,Knowshon Moreno right tackle for 5 yards (tackle by Malcolm Smith and Richard Sherman),15,0,-0.200,0.940
2,10:13,1,10,DEN 30,Peyton Manning pass complete short left to Demaryius Thomas for 7 yards (tackle by Byron Maxwell and Earl Thomas),15,0,0.940,1.340
2,9:36,2,3,DEN 37,Knowshon Moreno left guard for 2 yards (tackle by Brandon Mebane and K.J. Wright),15,0,1.340,0.890
2,8:57,3,1,DEN 39,Peyton Manning pass complete short right to Demaryius Thomas for 1 yard (tackle by K.J. Wright),15,0,0.890,1.600
2,8:18,1,10,DEN 40,Peyton Manning pass incomplete deep middle intended for Demaryius Thomas,15,0,1.600,1.050
2,8:10,2,10,DEN 40,Peyton Manning pass complete short right to Montee Ball for 1 yard (tackle by Clinton McDonald and Michael Bennett),15,0,1.050,0.500
2,7:40,3,9,DEN 41,Peyton Manning pass complete short middle to Wes Welker for 16 yards (tackle by Walter Thurmond),15,0,0.500,2.720
2,7:04,1,10,SEA 43,Peyton Manning pass complete short right to Demaryius Thomas for 9 yards (tackle by Michael Bennett),15,0,2.720,3.390
2,6:30,2,1,SEA 34,Montee Ball up the middle for no gain (tackle by Cliff Avril and Bobby Wagner),15,0,3.390,2.680
2,5:53,3,1,SEA 34,Montee Ball left guard for 2 yards (tackle by Malcolm Smith and Clinton McDonald),15,0,2.680,3.450
2,5:04,1,10,SEA 32,Peyton Manning pass incomplete deep right intended for Demaryius Thomas. Penalty on Zane Beadles: Tripping 10 yards (no play),15,0,3.450,2.790
2,4:56,1,20,SEA 42,Peyton Manning pass complete short right to Jacob Tamme for -2 yards (tackle by Brandon Mebane and Malcolm Smith),15,0,2.790,1.280
2,4:13,2,22,SEA 44,Knowshon Moreno left guard for 9 yards (tackle by Earl Thomas and Kam Chancellor),15,0,1.280,1.820
2,3:36,3,13,SEA 35,Peyton Manning pass incomplete short right intended for Knowshon Moreno is intercepted by Malcolm Smith at SEA-31 and returned for 69 yards touchdown,21,0,1.820,-7.000
2,3:21,,,,Steven Hauschka kicks extra point good,22,0,0.000,0.000
2,3:21,,,SEA 35,Steven Hauschka kicks off 64 yards returned by Trindon Holliday for 32 yards (tackle by Chris Maragos),22,0,0.000,-1.140
,,,,,Replay Assistant challenged the fumble ruling and the play was overturned. Steven Hauschka kicks off 64 yards returned by Trindon Holliday for 32 yards (tackle by Chris Maragos),,,,
2,3:16,1,10,DEN 33,Peyton Manning pass complete short middle to Julius Thomas for 5 yards (tackle by Kam Chancellor and Bobby Wagner),22,0,1.140,1.270
2,2:54,2,5,DEN 38,Peyton Manning pass incomplete short left intended for Eric Decker,22,0,1.270,0.560
2,2:49,3,5,DEN 38,Peyton Manning pass complete deep left to Demaryius Thomas for 19 yards (tackle by Byron Maxwell),22,0,0.560,2.720
2,2:49,1,10,SEA 43,Peyton Manning pass complete short middle to Wes Welker for 5 yards (tackle by Bobby Wagner),22,0,2.720,2.850
