Quarter,Time,Down,ToGo,Location,Detail,SFO,SEA,EPB,EPA
2,10:42,1,10,SFO 30,Russell Wilson pass complete short right to Paul Richardson for 22 yards (tackle by Antoine Bethea). Penalty on Justin Britt: Offensive Holding 10 yards (no play),7,3,3.580,2.920
2,10:09,1,20,SFO 40,Russell Wilson pass complete short left to Jermaine Kearse for 7 yards (tackle by Michael Wilhoite),7,3,2.920,2.630
2,9:35,2,13,SFO 33,Penalty on Russell Okung: False Start 5 yards (no play),7,3,2.630,1.950
2,9:10,2,18,SFO 38,Russell Wilson right end for 1 yard (tackle by Chris Borland),7,3,1.950,1.420
2,8:35,3,17,SFO 37,Russell Wilson sacked by Dan Skuta for -2 yards,7,3,1.420,0.660
2,8:01,4,19,SFO 39,Jon Ryan punts 27 yards fair catch by Bruce Ellington. Penalty on Dontae Johnson: Offensive Holding 6 yards,7,3,0.660,0.380
2,7:54,1,10,SFO 6,Frank Gore up the middle for 2 yards (tackle by Bobby Wagner),7,3,-0.380,-0.630
2,7:20,2,8,SFO 8,Frank Gore left tackle for no gain (tackle by Tony McDaniel),7,3,-0.630,-1.190
2,6:43,3,8,SFO 8,Colin Kaepernick pass complete short left to Brandon Lloyd for 12 yards (tackle by Richard Sherman),7,3,-1.190,0.280
2,6:02,1,10,SFO 20,Colin Kaepernick up the middle for 22 yards (tackle by Earl Thomas),7,3,0.280,1.730
2,5:14,1,10,SFO 42,Colin Kaepernick right end for 2 yards (tackle by O'Brien Schofield),7,3,1.730,1.460
2,4:36,2,8,SFO 44,Colin Kaepernick pass complete short right to Bruce Miller for 22 yards (tackle by Earl Thomas),7,3,1.460,3.310
2,3:58,1,10,SEA 34,Colin Kaepernick sacked by Kevin Williams for -2 yards,7,3,3.310,2.500
2,3:12,1,10,SEA 34,Timeout #2 by San Francisco 49ers,7,3,0.000,0.000
2,3:12,2,12,SEA 36,Colin Kaepernick right tackle for -1 yards (tackle by K.J. Wright),7,3,2.500,1.690
2,2:29,3,13,SEA 37,Colin Kaepernick sacked by Jordan Hill for -10 yards,7,3,1.690,0.130
2,2:00,4,23,SEA 47,Andy Lee punts 33 yards fair catch by Bryan Walters,7,3,0.130,0.280
2,1:53,1,10,SEA 14,Russell Wilson pass complete short left to Jermaine Kearse for 8 yards (tackle by Dontae Johnson),7,3,-0.280,0.420
2,1:23,2,2,SEA 22,Russell Wilson pass incomplete deep left intended for Jermaine Kearse,7,3,0.420,-0.440
2,1:16,3,2,SEA 22,Robert Turbin left tackle for 4 yards (tackle by Ray McDonald and Chris Borland),7,3,-0.440,0.670
2,0:54,1,10,SEA 26,Russell Wilson for 9 yards,7,3,0.670,1.350
2,0:47,2,1,SEA 35,Russell Wilson pass incomplete short left intended for Doug Baldwin,7,3,1.350,0.630
2,0:40,3,1,SEA 35,Robert Turbin right end for 15 yards (tackle by Chris Borland),7,3,0.630,2.260
2,0:34,1,10,SFO 50,Russell Wilson sacked by Ray McDonald for -9 yards,7,3,2.260,0.500
2,0:29,1,10,SFO 50,Timeout #2 by Seattle Seahawks,7,3,0.000,0.000
2,0:29,2,19,SEA 41,Penalty on J.R. Sweezy: False Start 5 yards (no play),7,3,0.500,-0.180
2,0:29,2,24,SEA 36,Russell Wilson pass complete deep left to Doug Baldwin for 35 yards (tackle by Antoine Bethea),7,3,-0.180,3.640
2,0:19,2,24,SEA 36,Timeout #3 by Seattle Seahawks,7,3,0.000,0.000
2,0:19,1,10,SFO 29,Russell Wilson pass incomplete deep right intended for Doug Baldwin (defended by Leon McFadden),7,3,3.640,3.100
2,0:13,1,10,SFO 29,Timeout #3 by San Francisco 49ers,7,3,0.000,0.000
2,0:13,2,10,SFO 29,Russell Wilson pass incomplete deep right intended for Paul Richardson,7,3,3.100,2.410
2,0:08,3,10,SFO 29,Russell Wilson pass incomplete deep middle intended for Doug Baldwin is intercepted by Eric Reid at SFO-3 and returned for 73 yards,7,3,2.410,-0.540
3,15:00,,,SFO 35,Phil Dawson kicks off 65 yards touchback,7,3,0.000,0.280
3,15:00,1,10,SEA 20,Marshawn Lynch up the middle for 5 yards (tackle by Eric Reid),7,3,0.280,0.410
3,14:25,2,5,SEA 25,Marshawn Lynch right end for 10 yards (tackle by Nick Moody),7,3,0.410,1.270
3,13:48,1,10,SEA 35,Marshawn Lynch up the middle for 6 yards (tackle by Ray McDonald),7,3,1.270,1.530
3,13:12,2,4,SEA 41,Robert Turbin right tackle for 3 yards (tackle by Michael Wilhoite),7,3,1.530,1.220
3,12:33,3,1,SEA 44,Marshawn Lynch up the middle for 2 yards (tackle by Quinton Dial and Ahmad Brooks). Penalty on Ricardo Lockette: Illegal Motion 5 yards (no play),7,3,1.220,0.560
3,12:05,3,6,SEA 39,Russell Wilson pass incomplete deep left intended for Luke Willson (defended by Dontae Johnson),7,3,0.560,-0.780
3,11:58,4,6,SEA 39,Jon Ryan punts 57 yards,7,3,-0.780,0.380
3,11:45,1,10,SFO 4,Carlos Hyde left tackle for 5 yards (tackle by Richard Sherman and Earl Thomas),7,3,-0.380,-0.420
3,11:07,2,5,SFO 9,Colin Kaepernick pass incomplete short right intended for Bruce Miller,7,3,-0.420,-0.840
3,11:01,3,5,SFO 9,Colin Kaepernick pass complete short middle to Michael Crabtree for 6 yards (tackle by Richard Sherman),7,3,-0.840,-0.220
,,,,,SEA challenged the pass completion ruling and the play was upheld.,,,,
3,10:34,1,10,SFO 15,Carlos Hyde up the middle for 10 yards (tackle by Earl Thomas). Penalty on Asante Cleveland: Offensive Holding 7 yards (no play),7,3,-0.220,-0.650
3,10:05,1,17,SFO 8,Carlos Hyde up the middle for 5 yards (tackle by Bruce Irvin),7,3,-0.650,-0.920
3,9:29,2,12,SFO 13,Colin Kaepernick pass complete short middle to Michael Crabtree for 3 yards (tackle by K.J. Wright),7,3,-0.920,-1.250
3,8:47,3,9,SFO 16,Colin Kaepernick sacked by Bobby Wagner for -5 yards,7,3,-1.250,-2.490
3,8:06,4,14,SFO 11,Penalty on Doug Baldwin: Neutral Zone Infraction 5 yards (no play),7,3,-2.490,-2.390
3,7:50,4,9,SFO 16,Andy Lee punts 44 yards returned by Bryan Walters for no gain,7,3,-2.390,-1.600
3,7:40,1,10,SEA 40,Russell Wilson pass complete short right to Marshawn Lynch for 7 yards (tackle by Nick Moody),7,3,1.600,2.000
