Quarter,Time,Down,ToGo,Location,Detail,SEA,SFO,EPB,EPA
2,11:12,4,2,SFO 2,Steven Hauschka 21 yard field goal good,10,0,3.250,3.000
2,11:12,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,10,0,0.000,-0.280
2,11:07,1,10,SFO 20,Colin Kaepernick pass complete short right to Carlos Hyde for 16 yards (tackle by Byron Maxwell),10,0,0.280,1.330
2,10:18,1,10,SFO 36,Frank Gore right tackle for -1 yards (tackle by Bobby Wagner),10,0,1.330,0.660
2,9:31,2,11,SFO 35,Colin Kaepernick pass incomplete deep left intended for Brandon Lloyd,10,0,0.660,-0.030
2,9:25,3,11,SFO 35,Colin Kaepernick pass incomplete short left intended for Steve Johnson. Penalty on Joe Staley: Illegal Use of Hands (Declined),10,0,-0.030,-1.040
2,9:21,4,11,SFO 35,Penalty on Doug Baldwin: Neutral Zone Infraction 5 yards (no play),10,0,-1.040,-0.720
2,9:21,4,6,SFO 40,Andy Lee punts 51 yards. Penalty on Chris Borland: Ineligible Downfield Kick 5 yards (no play),10,0,-0.720,-1.040
2,9:11,4,11,SFO 35,Andy Lee punts 38 yards returned by Bryan Walters for 13 yards (tackle by Chris Borland),10,0,-1.040,-1.600
2,9:00,1,10,SEA 40,Russell Wilson pass complete short left to Robert Turbin for 34 yards (tackle by Chris Borland),10,0,1.600,3.840
2,8:14,1,10,SFO 26,Robert Turbin up the middle for 16 yards (tackle by Eric Reid). Penalty on Garry Gilliam: Illegal Formation 5 yards (no play),10,0,3.840,3.510
2,7:49,1,15,SFO 31,Robert Turbin right guard for 2 yards (tackle by Michael Wilhoite),10,0,3.510,2.890
2,7:06,2,13,SFO 29,Russell Wilson pass complete short left to Christine Michael for 12 yards (tackle by Michael Wilhoite),10,0,2.890,3.950
2,6:32,3,1,SFO 17,Robert Turbin up the middle for -1 yards (tackle by Tank Carradine),10,0,3.950,2.370
2,5:45,3,1,SFO 17,Timeout #1 by Seattle Seahawks,10,0,0.000,0.000
2,5:45,4,2,SFO 18,Steven Hauschka 36 yard field goal good,13,0,2.370,3.000
2,5:45,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,13,0,0.000,-0.280
2,5:40,1,10,SFO 20,Frank Gore right guard for -2 yards (tackle by Bobby Wagner),13,0,0.280,-0.630
