Quarter,Time,Down,ToGo,Location,Detail,SEA,NWE,EPB,EPA
2,7:17,4,3,NWE 35,Ryan Allen punts 35 yards,0,7,-1.040,-0.940
2,7:07,1,10,SEA 30,Marshawn Lynch middle for 5 yards (tackle by Alan Branch),0,7,0.940,1.070
2,6:31,2,5,SEA 35,Marshawn Lynch middle for 4 yards (tackle by Alan Branch),0,7,1.070,0.890
2,5:51,3,1,SEA 39,Penalty on Luke Willson: False Start 5 yards (no play),0,7,0.890,0.230
2,5:36,3,6,SEA 34,Russell Wilson pass complete short right to Jermaine Kearse for 6 yards (tackle by Brandon Browner),0,7,0.230,1.600
2,4:57,1,10,SEA 40,Marshawn Lynch left tackle for 5 yards (tackle by Dont'a Hightower),0,7,1.600,1.730
2,4:19,2,5,SEA 45,Russell Wilson pass complete deep right to Chris Matthews for 44 yards (tackle by Kyle Arrington),0,7,1.730,4.840
2,3:39,1,10,NWE 11,Marshawn Lynch middle for 5 yards (tackle by Jamie Collins and Rob Ninkovich),0,7,4.840,5.080
2,3:02,2,5,NWE 6,Marshawn Lynch left tackle for 3 yards (tackle by Chandler Jones),0,7,5.080,4.890
2,2:22,3,2,NWE 3,Marshawn Lynch right tackle for 3 yards touchdown,6,7,4.890,7.000
2,2:22,,,,Steven Hauschka kicks extra point good,7,7,0.000,0.000
2,2:22,,,SEA 35,Steven Hauschka kicks off 65 yards touchback,7,7,0.000,-0.280
2,2:16,1,10,NWE 20,Tom Brady pass complete short left to Danny Amendola for 11 yards (tackle by Byron Maxwell),7,7,0.280,1.000
2,2:00,1,10,NWE 31,LeGarrette Blount right end for 9 yards (tackle by Bobby Wagner),7,7,1.000,1.680
2,1:33,2,1,NWE 40,Tom Brady pass complete short right to Shane Vereen for 5 yards (tackle by Bobby Wagner),7,7,1.680,1.930
2,1:00,1,10,NWE 45,Tom Brady pass incomplete deep left intended for Danny Amendola,7,7,1.930,1.380
2,0:54,2,10,NWE 45,Julian Edelman for 7 yards (tackle by Earl Thomas),7,7,1.380,1.620
2,0:49,3,3,SEA 48,Penalty on Cliff Avril: Neutral Zone Infraction 5 yards (no play),7,7,1.620,2.720
