Rk,Date,,Opp,Result,Quarter,Dist,Type,Detail
1,2013-09-08,@,CAR,W 12-7,4,43,pass,Jermaine Kearse 43 yard pass from Russell Wilson (pass failed)
2,2013-09-15,,SFO,W 29-3,3,14,rush,Marshawn Lynch 14 yard rush (Stephen Hauschka kick)
3,2013-09-15,,SFO,W 29-3,4,7,pass,Marshawn Lynch 7 yard pass from Russell Wilson (Stephen Hauschka kick)
4,2013-09-15,,SFO,W 29-3,4,2,rush,Marshawn Lynch 2 yard rush (Stephen Hauschka kick)
5,2013-09-22,,JAX,W 45-17,1,1,pass,Zach Miller 1 yard pass from Russell Wilson (Stephen Hauschka kick)
6,2013-09-22,,JAX,W 45-17,2,4,pass,Zach Miller 4 yard pass from Russell Wilson (Stephen Hauschka kick)
7,2013-09-22,,JAX,W 45-17,2,11,pass,Sidney Rice 11 yard pass from Russell Wilson (Stephen Hauschka kick)
8,2013-09-22,,JAX,W 45-17,3,23,pass,Sidney Rice 23 yard pass from Russell Wilson (Stephen Hauschka kick)
9,2013-09-22,,JAX,W 45-17,3,35,pass,Doug Baldwin 35 yard pass from Tarvaris Jackson (Stephen Hauschka kick)
10,2013-09-22,,JAX,W 45-17,4,5,rush,Tarvaris Jackson 5 yard rush (Stephen Hauschka kick)
11,2013-09-29,@,HOU,W 23-20,4,3,rush,Marshawn Lynch 3 yard rush (Stephen Hauschka kick)
12,2013-09-29,@,HOU,W 23-20,4,58,interception,Richard Sherman 58 yard interception return (Stephen Hauschka kick)
13,2013-10-06,@,IND,L 28-34,1,10,pass,Golden Tate 10 yard pass from Russell Wilson (Stephen Hauschka kick)
14,2013-10-06,@,IND,L 28-34,2,28,pass,Jermaine Kearse 28 yard pass from Russell Wilson (Stephen Hauschka kick)
15,2013-10-13,,TEN,W 20-13,2,1,rush,Marshawn Lynch 1 yard rush (Stephen Hauschka kick)
16,2013-10-13,,TEN,W 20-13,4,3,rush,Marshawn Lynch 3 yard rush (Stephen Hauschka kick)
17,2013-10-17,@,ARI,W 34-22,1,31,pass,Sidney Rice 31 yard pass from Russell Wilson (Stephen Hauschka kick)
18,2013-10-17,@,ARI,W 34-22,2,15,pass,Zach Miller 15 yard pass from Russell Wilson (Stephen Hauschka kick)
19,2013-10-17,@,ARI,W 34-22,3,1,pass,Kellen Davis 1 yard pass from Russell Wilson (Stephen Hauschka kick)
20,2013-10-17,@,ARI,W 34-22,3,2,rush,Marshawn Lynch 2 yard rush (Stephen Hauschka kick)
21,2013-10-28,@,STL,W 14-9,2,2,pass,Golden Tate 2 yard pass from Russell Wilson (Stephen Hauschka kick)
22,2013-10-28,@,STL,W 14-9,3,80,pass,Golden Tate 80 yard pass from Russell Wilson (Stephen Hauschka kick)
23,2013-11-03,,TAM,W 27-24,2,16,pass,Jermaine Kearse 16 yard pass from Russell Wilson (Stephen Hauschka kick)
24,2013-11-03,,TAM,W 27-24,3,10,rush,Russell Wilson 10 yard rush (Stephen Hauschka kick)
25,2013-11-03,,TAM,W 27-24,4,10,pass,Doug Baldwin 10 yard pass from Russell Wilson (Stephen Hauschka kick)
26,2013-11-10,@,ATL,W 33-10,2,43,pass,Jermaine Kearse 43 yard pass from Russell Wilson (Stephen Hauschka kick)
27,2013-11-10,@,ATL,W 33-10,2,6,pass,Golden Tate 6 yard pass from Russell Wilson (Stephen Hauschka kick)
28,2013-11-10,@,ATL,W 33-10,4,1,rush,Marshawn Lynch 1 yard rush (Stephen Hauschka kick)
29,2013-11-17,,MIN,W 41-20,1,4,rush,Marshawn Lynch 4 yard rush (Stephen Hauschka kick)
30,2013-11-17,,MIN,W 41-20,2,1,rush,Marshawn Lynch 1 yard rush (Stephen Hauschka kick)
31,2013-11-17,,MIN,W 41-20,2,19,pass,Doug Baldwin 19 yard pass from Russell Wilson (Stephen Hauschka kick)
32,2013-11-17,,MIN,W 41-20,4,6,pass,Marshawn Lynch 6 yard pass from Russell Wilson (Stephen Hauschka kick)
33,2013-11-17,,MIN,W 41-20,4,29,interception,Walter Thurmond 29 yard interception return (Stephen Hauschka kick)
34,2013-12-02,,NOR,W 34-7,1,22,fumble,Michael Bennett 22 yard fumble return (Stephen Hauschka kick)
35,2013-12-02,,NOR,W 34-7,1,2,pass,Zach Miller 2 yard pass from Russell Wilson (Stephen Hauschka kick)
36,2013-12-02,,NOR,W 34-7,2,4,pass,Doug Baldwin 4 yard pass from Russell Wilson (Stephen Hauschka kick)
37,2013-12-02,,NOR,W 34-7,3,8,pass,Derrick Coleman 8 yard pass from Russell Wilson (Stephen Hauschka kick)
38,2013-12-08,@,SFO,L 17-19,2,11,rush,Marshawn Lynch 11 yard rush (Stephen Hauschka kick)
39,2013-12-08,@,SFO,L 17-19,2,39,pass,Luke Willson 39 yard pass from Russell Wilson (Stephen Hauschka kick)
40,2013-12-15,@,NYG,W 23-0,2,2,rush,Marshawn Lynch 2 yard rush (Stephen Hauschka kick)
41,2013-12-15,@,NYG,W 23-0,4,12,pass,Doug Baldwin 12 yard pass from Russell Wilson (Stephen Hauschka kick)
42,2013-12-22,,ARI,L 10-17,4,11,pass,Zach Miller 11 yard pass from Russell Wilson (Stephen Hauschka kick)
43,2013-12-29,,STL,W 27-9,1,37,interception,Malcolm Smith 37 yard interception return (Stephen Hauschka kick)
44,2013-12-29,,STL,W 27-9,3,2,rush,Marshawn Lynch 2 yard rush (Stephen Hauschka kick)
45,2013-12-29,,STL,W 27-9,4,47,pass,Golden Tate 47 yard pass from Russell Wilson (Stephen Hauschka kick)
