Quarter,Time,Down,ToGo,Location,Detail,STL,SEA,EPB,EPA
2,6:43,1,10,SEA 13,Doug Baldwin right end for 8 yards (tackle by James Laurinaitis),3,0,-0.320,0.350
2,6:21,2,2,SEA 21,Russell Wilson pass complete short left to Marshawn Lynch for 12 yards (tackle by Alec Ogletree). Marshawn Lynch fumbles (forced by Alec Ogletree) recovered by T.J. McDonald at SEA-37 and returned for 3 yards (tackle by Luke Willson),3,0,0.350,-3.310
2,6:08,1,10,SEA 34,Tre Mason up the middle for -2 yards (tackle by Bobby Wagner),3,0,3.310,2.500
2,5:28,2,12,SEA 36,Shaun Hill pass complete short right to Tavon Austin for 7 yards (tackle by Richard Sherman),3,0,2.500,2.740
2,4:45,3,5,SEA 29,Penalty on Joe Barksdale: False Start 5 yards (no play),3,0,2.740,2.080
2,4:27,3,10,SEA 34,Shaun Hill pass incomplete deep left intended for Jared Cook,3,0,2.080,1.060
2,4:23,4,10,SEA 34,Greg Zuerlein 52 yard field goal good,6,0,1.060,3.000
2,4:23,,,RAM 35,Greg Zuerlein kicks off 67 yards returned by Paul Richardson for 20 yards (tackle by Cody Davis),6,0,0.000,-0.040
2,4:12,1,10,SEA 18,Marshawn Lynch right tackle for 6 yards (tackle by Lamarcus Joyner and Rodney McLeod),6,0,0.040,0.410
2,3:31,2,4,SEA 24,Marshawn Lynch right tackle for 14 yards (tackle by James Laurinaitis and Rodney McLeod),6,0,0.410,1.470
2,2:50,1,10,SEA 38,Robert Turbin up the middle for 1 yard (tackle by Kendall Langford),6,0,1.470,1.060
2,2:17,2,9,SEA 39,Penalty on James Carpenter: False Start 5 yards (no play),6,0,1.060,0.380
2,2:00,2,14,SEA 34,Russell Wilson pass complete short right to Robert Turbin for 13 yards (tackle by Marcus Roberson),6,0,0.380,1.420
2,1:35,3,1,SEA 47,Russell Wilson for no gain. Russell Wilson fumbles recovered by Russell Wilson at SEA-46,6,0,1.420,-0.320
